iter	Passed	Remaining
0	10	10609
1	11	5629
2	11	3949
3	12	3106
4	13	2605
5	13	2259
6	14	2014
7	14	1832
8	15	1707
9	16	1593
10	16	1506
11	17	1453
12	18	1385
13	18	1327
14	20	1340
15	21	1292
16	21	1249
17	22	1209
18	22	1174
19	23	1143
20	23	1114
21	24	1087
22	25	1063
23	25	1041
24	26	1021
25	26	1002
26	27	983
27	27	966
28	28	950
29	29	941
30	29	931
31	30	919
32	31	909
33	31	907
34	32	896
35	33	886
36	33	884
37	34	885
38	35	877
39	36	868
40	36	859
41	37	851
42	37	843
43	38	837
44	39	830
45	39	823
46	40	816
47	40	811
48	41	805
49	42	799
50	42	800
51	43	797
52	44	792
53	44	786
54	45	783
55	46	783
56	47	778
57	47	773
58	49	781
59	49	777
60	50	772
61	50	767
62	51	762
63	51	758
64	52	754
65	53	750
66	53	746
67	54	742
68	54	739
69	55	735
70	55	731
71	56	732
72	57	733
73	58	732
74	59	730
75	59	728
76	60	728
77	61	725
78	61	721
79	62	722
80	63	725
81	64	722
82	64	716
83	65	713
84	66	710
85	66	707
86	67	704
87	67	701
88	68	698
89	68	695
90	69	692
91	69	690
92	70	691
93	71	689
94	72	686
95	72	683
96	73	681
97	73	678
98	74	675
99	74	674
100	75	675
101	76	673
102	77	670
103	78	672
104	78	672
105	79	670
106	80	668
107	80	665
108	81	663
109	81	661
110	82	659
111	82	657
112	83	654
113	83	652
114	84	651
115	85	650
116	85	648
117	86	646
118	87	644
119	87	642
120	88	640
121	88	637
122	89	635
123	89	634
124	90	635
125	91	633
126	91	631
127	92	632
128	93	633
129	94	631
130	94	629
131	95	627
132	95	625
133	96	624
134	97	622
135	97	620
136	98	620
137	99	621
138	100	620
139	101	620
140	101	619
141	102	617
142	102	616
143	103	614
144	104	613
145	104	613
146	105	613
147	106	612
148	108	618
149	109	617
150	109	616
151	110	614
152	110	612
153	111	611
154	111	609
155	112	608
156	113	607
157	113	605
158	114	604
159	114	602
160	115	600
161	115	598
162	116	597
163	116	596
164	117	594
165	118	593
166	118	591
167	119	591
168	120	591
169	120	590
170	121	589
171	123	592
172	123	591
173	124	590
174	124	588
175	125	587
176	126	586
177	126	585
178	127	583
179	127	582
180	128	580
181	128	579
182	129	578
183	130	576
184	130	575
185	131	574
186	131	572
187	132	571
188	132	570
189	133	568
190	134	567
191	134	566
192	135	566
193	136	565
194	136	563
195	137	565
196	138	564
197	138	562
198	139	561
199	140	560
200	141	562
201	142	561
202	142	560
203	143	559
204	144	558
205	144	558
206	145	557
207	146	557
208	146	556
209	147	555
210	148	554
211	149	554
212	150	554
213	150	553
214	151	554
215	153	555
216	153	555
217	155	556
218	155	555
219	156	554
220	157	553
221	157	552
222	158	551
223	159	551
224	159	550
225	160	549
226	161	548
227	161	548
228	162	547
229	163	546
230	164	547
231	165	546
232	165	545
233	167	547
234	167	546
235	168	545
236	169	545
237	169	544
238	170	543
239	171	542
240	171	540
241	172	539
242	172	538
243	173	537
244	174	536
245	174	535
246	175	534
247	176	533
248	176	532
249	177	531
250	178	531
251	178	530
252	179	530
253	180	528
254	180	527
255	182	529
256	183	529
257	183	528
258	184	527
259	184	526
260	185	525
261	186	524
262	186	523
263	187	521
264	187	520
265	188	519
266	188	518
267	189	517
268	189	516
269	190	515
270	191	513
271	191	512
272	192	511
273	192	510
274	193	509
275	194	510
276	195	509
277	197	513
278	198	512
279	199	512
280	199	511
281	200	509
282	200	508
283	201	507
284	201	506
285	202	505
286	203	504
287	203	503
288	204	502
289	204	501
290	205	500
291	205	499
292	206	498
293	207	497
294	207	496
295	208	495
296	209	495
297	209	494
298	210	493
299	211	494
300	212	493
301	212	492
302	213	491
303	214	490
304	214	489
305	215	487
306	215	486
307	216	485
308	216	484
309	217	484
310	218	483
311	218	482
312	219	481
313	219	480
314	220	479
315	220	477
316	221	476
317	221	475
318	222	474
319	223	474
320	224	474
321	225	474
322	227	476
323	227	475
324	228	474
325	229	473
326	229	472
327	230	471
328	230	470
329	231	469
330	231	468
331	232	467
332	232	466
333	233	465
334	234	464
335	234	463
336	235	462
337	235	461
338	236	460
339	236	460
340	237	459
341	238	459
342	239	459
343	240	458
344	242	460
345	243	459
346	243	458
347	244	457
348	244	456
349	245	455
350	246	454
351	246	453
352	247	453
353	247	452
354	248	451
355	248	450
356	249	449
357	249	448
358	250	447
359	251	446
360	251	445
361	252	444
362	253	444
363	254	444
364	254	443
365	255	442
366	256	442
367	257	442
368	258	441
369	258	440
370	259	439
371	259	438
372	260	437
373	260	436
374	261	435
375	261	434
376	262	433
377	263	433
378	263	432
379	264	431
380	264	430
381	265	429
382	266	428
383	266	427
384	267	426
385	267	426
386	268	425
387	269	425
388	270	424
389	271	424
390	272	423
391	272	422
392	273	421
393	273	420
394	274	420
395	274	419
396	275	418
397	276	417
398	276	416
399	277	415
400	277	414
401	278	414
402	278	413
403	279	412
404	280	411
405	280	410
406	281	409
407	281	409
408	282	408
409	283	407
410	284	407
411	284	406
412	285	405
413	286	405
414	287	404
415	287	403
416	288	403
417	288	402
418	289	401
419	289	400
420	290	399
421	291	398
422	291	397
423	292	397
424	292	396
425	293	395
426	293	394
427	295	394
428	296	394
429	298	395
430	299	395
431	300	395
432	301	395
433	302	395
434	303	394
435	304	394
436	305	393
437	306	392
438	306	392
439	309	393
440	309	392
441	310	392
442	311	391
443	311	390
444	312	390
445	313	389
446	314	388
447	316	389
448	317	389
449	317	388
450	318	387
451	319	386
452	319	386
453	320	385
454	321	384
455	321	383
456	322	383
457	323	382
458	323	381
459	324	380
460	325	380
461	325	379
462	326	378
463	327	378
464	328	377
465	328	376
466	329	376
467	331	376
468	332	375
469	332	375
470	333	374
471	334	373
472	334	372
473	335	372
474	336	371
475	336	370
476	337	370
477	338	369
478	338	368
479	339	367
480	340	367
481	340	366
482	341	365
483	342	365
484	343	364
485	344	363
486	345	364
487	346	363
488	347	362
489	347	362
490	348	361
491	349	360
492	349	359
493	350	358
494	351	358
495	351	357
496	352	356
497	353	356
498	353	355
499	354	354
500	354	353
501	355	352
502	356	351
503	357	351
504	358	351
505	358	350
506	360	350
507	361	349
508	361	349
509	362	348
510	363	347
511	364	347
512	365	346
513	365	345
514	366	345
515	367	344
516	367	343
517	368	342
518	369	342
519	369	341
520	370	341
521	371	340
522	373	340
523	374	339
524	374	339
525	375	338
526	376	337
527	376	336
528	377	336
529	378	335
530	378	334
531	379	333
532	380	333
533	380	332
534	381	331
535	381	330
536	382	329
537	383	329
538	384	328
539	385	328
540	385	327
541	386	326
542	388	326
543	389	326
544	389	325
545	390	324
546	391	324
547	392	323
548	392	322
549	393	321
550	394	321
551	394	320
552	395	319
553	395	318
554	396	317
555	397	317
556	397	316
557	398	315
558	398	314
559	399	313
560	400	313
561	400	312
562	401	311
563	402	311
564	403	310
565	403	309
566	404	308
567	404	307
568	405	307
569	405	306
570	406	305
571	407	304
572	407	303
573	408	303
574	408	302
575	409	301
576	410	300
577	410	299
578	411	299
579	411	298
580	412	297
581	412	296
582	413	295
583	414	295
584	415	294
585	415	293
586	417	293
587	418	292
588	418	292
589	419	291
590	419	290
591	420	289
592	421	289
593	421	288
594	422	287
595	422	286
596	423	285
597	424	285
598	424	284
599	425	283
600	425	282
601	426	281
602	426	280
603	427	280
604	427	279
605	428	278
606	429	277
607	429	277
608	430	276
609	431	275
610	432	275
611	433	275
612	434	274
613	435	273
614	436	273
615	436	272
616	437	271
617	437	270
618	438	269
619	438	269
620	439	268
621	440	267
622	440	266
623	441	265
624	441	265
625	442	264
626	442	263
627	443	262
628	444	262
629	445	261
630	445	260
631	447	260
632	447	259
633	448	258
634	448	258
635	449	257
636	449	256
637	450	255
638	451	254
639	451	254
640	452	253
641	452	252
642	453	251
643	453	250
644	454	250
645	455	249
646	455	248
647	456	247
648	456	246
649	457	246
650	457	245
651	458	244
652	459	244
653	460	243
654	460	242
655	461	242
656	462	241
657	463	240
658	463	239
659	464	239
660	464	238
661	465	237
662	465	236
663	466	236
664	467	235
665	467	234
666	468	233
667	468	232
668	469	232
669	469	231
670	470	230
671	470	229
672	471	229
673	472	228
674	472	227
675	473	226
676	474	226
677	474	225
678	475	224
679	477	224
680	477	223
681	478	223
682	479	222
683	479	221
684	480	220
685	480	220
686	481	219
687	482	218
688	482	217
689	483	217
690	483	216
691	484	215
692	485	214
693	485	214
694	486	213
695	486	212
696	487	211
697	488	211
698	489	210
699	490	210
700	492	209
701	492	209
